ID_ENTIDAD,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
21,050,PAN,,
21,050,PRI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,050,PRD,,
21,050,PT,,
21,050,PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,050,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,050,PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,050,MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,050,NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,050,FXMP,,
21,050,MRPP,,
21,050,SEHHP,,
21,050,CI1,,
21,050,CI2,,
21,050,C_PAN_PRI_PRD_PSI,,
21,050,C_PAN_PRI_PRD,,
21,050,C_PAN_PRI_PSI,,
21,050,C_PAN_PRD_PSI,,
21,050,C_PRI_PRD_PSI,,
21,050,C_PAN_PRI,,
21,050,C_PAN_PRD,,
21,050,C_PAN_PSI,,
21,050,C_PRI_PRD,,
21,050,C_PRI_PSI,,
21,050,C_PRD_PSI,,
21,050,C_PT_PVEM_MOR_NAP_FXMP,,
21,050,C_PT_PVEM_MOR_NAP,,
21,050,C_PT_PVEM_MOR_FXMP,,
21,050,C_PT_PVEM_NAP_FXMP,,
21,050,C_PT_MOR_NAP_FXMP,,
21,050,C_PVEM_MOR_NAP_FXMP,,
21,050,C_PT_PVEM_MOR,,
21,050,C_PT_PVEM_NAP,,
21,050,C_PT_PVEM_FXMP,,
21,050,C_PT_MOR_NAP,,
21,050,C_PT_MOR_FXMP,,
21,050,C_PT_NAP_FXMP,,
21,050,C_PVEM_MOR_NAP,,
21,050,C_PVEM_MOR_FXMP,,
21,050,C_PVEM_NAP_FXMP,,
21,050,C_MOR_NAP_FXMP,,
21,050,C_PT_PVEM,,
21,050,C_PT_MOR,,
21,050,C_PT_NAP,,
21,050,C_PT_FXMP,,
21,050,C_PVEM_MOR,,
21,050,C_PVEM_NAP,,
21,050,C_PVEM_FXMP,,
21,050,C_MOR_NAP,,
21,050,C_MOR_FXMP,,
21,050,C_NAP_FXMP,,
21,058,PAN,Nombre Apellido Apellido,Nombre Apellido Apellido
21,058,PRI,,
21,058,PRD,,
21,058,PT,Nombre Apellido Apellido,Nombre Apellido Apellido
21,058,PVEM,,
21,058,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,058,PSI,,
21,058,MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,058,NAP,,
21,058,FXMP,,
21,058,MRPP,,
21,058,SEHHP,,
21,058,CI1,,
21,058,CI2,,
21,058,C_PAN_PRI_PRD_PSI,,
21,058,C_PAN_PRI_PRD,,
21,058,C_PAN_PRI_PSI,,
21,058,C_PAN_PRD_PSI,,
21,058,C_PRI_PRD_PSI,,
21,058,C_PAN_PRI,,
21,058,C_PAN_PRD,,
21,058,C_PAN_PSI,,
21,058,C_PRI_PRD,,
21,058,C_PRI_PSI,,
21,058,C_PRD_PSI,,
21,058,C_PT_PVEM_MOR_NAP_FXMP,,
21,058,C_PT_PVEM_MOR_NAP,,
21,058,C_PT_PVEM_MOR_FXMP,,
21,058,C_PT_PVEM_NAP_FXMP,,
21,058,C_PT_MOR_NAP_FXMP,,
21,058,C_PVEM_MOR_NAP_FXMP,,
21,058,C_PT_PVEM_MOR,,
21,058,C_PT_PVEM_NAP,,
21,058,C_PT_PVEM_FXMP,,
21,058,C_PT_MOR_NAP,,
21,058,C_PT_MOR_FXMP,,
21,058,C_PT_NAP_FXMP,,
21,058,C_PVEM_MOR_NAP,,
21,058,C_PVEM_MOR_FXMP,,
21,058,C_PVEM_NAP_FXMP,,
21,058,C_MOR_NAP_FXMP,,
21,058,C_PT_PVEM,,
21,058,C_PT_MOR,,
21,058,C_PT_NAP,,
21,058,C_PT_FXMP,,
21,058,C_PVEM_MOR,,
21,058,C_PVEM_NAP,,
21,058,C_PVEM_FXMP,,
21,058,C_MOR_NAP,,
21,058,C_MOR_FXMP,,
21,058,C_NAP_FXMP,,
21,065,PAN,,
21,065,PRI,,
21,065,PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,PT,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,MRPP,,
21,065,SEHHP,,
21,065,CI1,,
21,065,CI2,,
21,065,C_PAN_PRI_PRD_PSI,,
21,065,C_PAN_PRI_PRD,,
21,065,C_PAN_PRI_PSI,,
21,065,C_PAN_PRD_PSI,,
21,065,C_PRI_PRD_PSI,,
21,065,C_PAN_PRI,,
21,065,C_PAN_PRD,,
21,065,C_PAN_PSI,,
21,065,C_PRI_PRD,,
21,065,C_PRI_PSI,,
21,065,C_PRD_PSI,,
21,065,C_PT_PVEM_MOR_NAP_FXMP,,
21,065,C_PT_PVEM_MOR_NAP,,
21,065,C_PT_PVEM_MOR_FXMP,,
21,065,C_PT_PVEM_NAP_FXMP,,
21,065,C_PT_MOR_NAP_FXMP,,
21,065,C_PVEM_MOR_NAP_FXMP,,
21,065,C_PT_PVEM_MOR,,
21,065,C_PT_PVEM_NAP,,
21,065,C_PT_PVEM_FXMP,,
21,065,C_PT_MOR_NAP,,
21,065,C_PT_MOR_FXMP,,
21,065,C_PT_NAP_FXMP,,
21,065,C_PVEM_MOR_NAP,,
21,065,C_PVEM_MOR_FXMP,,
21,065,C_PVEM_NAP_FXMP,,
21,065,C_MOR_NAP_FXMP,,
21,065,C_PT_PVEM,,
21,065,C_PT_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,065,C_PT_NAP,,
21,065,C_PT_FXMP,,
21,065,C_PVEM_MOR,,
21,065,C_PVEM_NAP,,
21,065,C_PVEM_FXMP,,
21,065,C_MOR_NAP,,
21,065,C_MOR_FXMP,,
21,065,C_NAP_FXMP,,
21,072,PAN,,
21,072,PRI,,
21,072,PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,072,PT,,
21,072,PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,072,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,072,PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,072,MOR,,
21,072,NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,072,FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,072,MRPP,,
21,072,SEHHP,,
21,072,CI1,,
21,072,CI2,,
21,072,C_PAN_PRI_PRD_PSI,,
21,072,C_PAN_PRI_PRD,,
21,072,C_PAN_PRI_PSI,,
21,072,C_PAN_PRD_PSI,,
21,072,C_PRI_PRD_PSI,,
21,072,C_PAN_PRI,,
21,072,C_PAN_PRD,,
21,072,C_PAN_PSI,,
21,072,C_PRI_PRD,,
21,072,C_PRI_PSI,,
21,072,C_PRD_PSI,,
21,072,C_PT_PVEM_MOR_NAP_FXMP,,
21,072,C_PT_PVEM_MOR_NAP,,
21,072,C_PT_PVEM_MOR_FXMP,,
21,072,C_PT_PVEM_NAP_FXMP,,
21,072,C_PT_MOR_NAP_FXMP,,
21,072,C_PVEM_MOR_NAP_FXMP,,
21,072,C_PT_PVEM_MOR,,
